,init,strategy,F,CR,x,valor
30,latinhypercube,rand1bin,0.8,0.5,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  8.21565038e-15  7.36299910e-13 -1.80295778e-11 -1.14186816e-09
  2.15088591e-09 -4.35463463e-08]",4.050381139287324e-71
31,latinhypercube,rand1bin,0.8,0.6000000000000001,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  4.52970994e-14
 -7.15986159e-11  3.72353237e-09  4.79834514e-08  1.16722795e-07
 -5.83785170e-07  3.24056256e-06]",5.136821107927959e-51
32,latinhypercube,rand1bin,0.8,0.7,"[ 0.00000000e+00  0.00000000e+00 -4.44089210e-16  3.16124904e-12
 -7.60390528e-10 -8.51675763e-09  2.76042575e-07 -7.28041233e-07
  5.43819887e-06  1.07924471e-07]",5.684091941775822e-46
33,latinhypercube,rand1bin,0.8,0.8,"[ 0.00000000e+00  0.00000000e+00  1.72528658e-13  8.26334556e-11
  1.13258971e-08  1.25384261e-08 -3.91794298e-06  5.01491224e-06
  3.04725532e-05 -3.52441272e-05]",1.956276542167098e-38
34,latinhypercube,rand1bin,0.8,0.9000000000000001,"[ 0.00000000e+00  0.00000000e+00 -1.64455116e-11 -1.07774044e-08
 -1.45820639e-07  2.27182969e-06 -1.84172354e-05 -4.86805637e-05
 -1.33624178e-04  4.42692162e-04]",1.9195515479207811e-32
35,latinhypercube,rand1bin,0.8,1.0,"[ 1.90027026e-12 -6.85658924e-07  2.26743630e-04 -6.69285608e-04
 -3.80672753e-03  1.47101098e-02 -1.46317861e-02 -3.54811162e-02
  5.35483366e-02  8.11719301e-02]",4.3853528038704495e-11
36,latinhypercube,rand1bin,0.8999999999999999,0.2,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -7.54951657e-15  1.12043708e-12  3.50801610e-11
  3.11447756e-10 -5.51689749e-09]",3.0841468329775323e-83
37,latinhypercube,rand1bin,0.8999999999999999,0.30000000000000004,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
 -2.99760217e-15  1.16529009e-12  7.09883263e-11  5.51825252e-12
 -5.26196420e-09  5.95706973e-09]",1.1833607553917947e-71
38,latinhypercube,rand1bin,0.8999999999999999,0.4,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.23154828e-14
 -8.09130540e-12  9.49921031e-10 -1.97957689e-08 -2.51278897e-08
 -9.97955123e-07 -3.05613010e-06]",3.2614728136948645e-54
39,latinhypercube,rand1bin,0.8999999999999999,0.5,"[ 0.00000000e+00  0.00000000e+00 -7.87148124e-14  1.45957246e-10
  9.37765621e-09 -8.27396488e-08  2.17586249e-06 -5.16917585e-06
  3.37584481e-05 -1.40467444e-04]",4.2933420868062526e-39
40,latinhypercube,rand1bin,0.8999999999999999,0.6000000000000001,"[ 0.00000000e+00  1.33226763e-15  2.66076050e-12 -3.42039532e-08
 -2.44958919e-07 -5.19775050e-07 -1.86780100e-05 -1.52209237e-04
  1.44773111e-04 -5.23064529e-04]",3.434972242813979e-30
41,latinhypercube,rand1bin,0.8999999999999999,0.7,"[ 0.00000000e+00 -2.54241073e-14  1.16053478e-09 -3.01925110e-07
  2.99317529e-06  1.34690831e-05  8.74695729e-06 -4.55086677e-04
  1.02661281e-03  2.11768613e-03]",1.5685878331444608e-26
