,init,strategy,F,CR,x,valor
29,latinhypercube,rand1bin,0.8,0.4,"[ 4.71264144 -4.71295218 -4.71201392 -4.71214274 -1.57131238  7.85448365
  1.57081913  1.57142557  1.57050365  7.85338561]",0.00045400008947237084
30,latinhypercube,rand1bin,0.8,0.5,"[ 4.70781104 -1.56736078  4.70562505  7.85764667 -7.85946024  4.71466599
 -1.56463707 -1.57790471 -1.56707704  4.70987031]",0.00045409564862309117
31,latinhypercube,rand1bin,0.8,0.6000000000000001,"[ 7.85420004  4.71259891  4.71221579 -1.5706824  -7.85376125 -1.57060883
  4.71249756  1.57094518 -7.85378855  4.71238312]",0.00045399941601086265
32,latinhypercube,rand1bin,0.8,0.7,"[-4.71208564  1.57104697 -7.85407752 -4.71255949  1.57068212  4.7120909
  4.71209399 -7.85410963 -1.57109991 -7.85424954]",0.00045399952739656643
33,latinhypercube,rand1bin,0.8,0.8,"[-4.72037819  7.86220735  4.71924843  1.56476388  4.71056355 -7.86220213
 -4.7047773   1.57670066 -4.71669926  4.71014236]",0.00045416368951527446
34,latinhypercube,rand1bin,0.8,0.9000000000000001,"[-1.56929954 -7.86249333  4.70255621  1.56763526 -4.70383586 -7.85649595
  7.85657682  1.57806691  4.72133797  7.84618875]",0.0004541877992074128
35,latinhypercube,rand1bin,0.8,1.0,"[ 4.7123108  -4.72136974  4.70902209 -7.84775093  7.86157117 -4.72461918
  1.58212748 -1.56438175  1.56683905 -7.8451849 ]",0.00045424475222518706
36,latinhypercube,rand1bin,0.8999999999999999,0.2,"[-1.57914093  7.84725488 -7.854026   -4.71279175  4.70981504  7.86057732
 -7.86303084 -7.85731428 -1.5721507  -7.86356104]",0.0004541430490345526
37,latinhypercube,rand1bin,0.8999999999999999,0.30000000000000004,"[-4.7122902   4.71268376 -4.71315575  7.85411072  1.57025676  4.71119818
 -4.71336348  7.85357617  1.57022898 -7.85383653]",0.00045400087783643123
38,latinhypercube,rand1bin,0.8999999999999999,0.4,"[-1.56990221  4.71105439 -1.57036841  1.57138856  4.71199865 -1.57203495
  1.56981697 -1.57087628 -1.56999166 -7.85342235]",0.00045400204620452557
39,latinhypercube,rand1bin,0.8999999999999999,0.5,"[-1.56726094  1.56929843 -1.56498881  4.71257929  1.57183839 -4.71110842
  4.71312024  1.57883096 -1.57810599  7.84714677]",0.0004540877535719838
40,latinhypercube,rand1bin,0.8999999999999999,0.6000000000000001,"[-1.57206548 -4.71192215  7.85345652 -4.7132904  -7.8549449  -1.57082941
 -1.56997037  7.85236053  4.71118969  4.71290758]",0.00045400291920367445
41,latinhypercube,rand1bin,0.8999999999999999,0.7,"[ 7.85506481 -7.84490901  1.56165806 -7.8600023   4.71605829  4.7103499
 -1.57808512 -4.72118498  7.84456547  4.71593741]",0.0004541842688871979
42,latinhypercube,rand1bin,0.8999999999999999,0.8,"[-7.85347298 -4.71296769  1.57098144 -4.71290563  1.57052673  7.85397429
 -4.71188475 -4.71294089 -4.71187828 -1.57069067]",0.00045400003245363443
43,latinhypercube,rand1bin,0.8999999999999999,0.9000000000000001,"[-4.71108857  1.57133949  7.85539982  4.71350914  7.85414867 -4.7111877
  4.71148344  1.57140012  4.71350807 -7.85248176]",0.00045400395961613533
44,latinhypercube,rand1bin,0.8999999999999999,1.0,"[ 4.71124524 -1.57189171  4.70921819  4.71570543 -7.85398173 -4.71381361
 -4.7129808   7.85687896  4.7120638   4.71514284]",0.000454016469100906
45,latinhypercube,rand1bin,1.0,0.2,"[-1.57083754  1.57060438 -1.57085902 -7.85402701 -1.5709493  -7.8536132
 -4.71273036 -1.57046372  1.57102381  7.85383761]",0.00045399950328598365
46,latinhypercube,rand1bin,1.0,0.30000000000000004,"[ 4.71217708 -1.57076762 -1.57083087 -7.8543118   4.71244504 -4.71245018
  4.71194547 -1.57103209 -4.71187842 -4.71210954]",0.00045399960565263006
47,latinhypercube,rand1bin,1.0,0.4,"[-1.57101812  4.71235796  4.71259608 -7.8540578  -4.71254447  1.57079425
  4.71194635 -7.85422359  4.71264813  4.71270326]",0.0004539995196687282
48,latinhypercube,rand1bin,1.0,0.5,"[-7.85191162  7.85034546 -4.71119157 -1.57009188 -7.85214623 -7.85488237
 -1.57382278  7.85424572 -1.57302134  7.85280873]",0.0004540153036528693
49,latinhypercube,rand1bin,1.0,0.6000000000000001,"[ 1.57160658 -1.56722416  1.55526126 -4.70832131 -1.57849082  7.85677354
 -1.57487949  1.56596193 -7.84828589 -4.71117875]",0.00045416776514162503
50,latinhypercube,rand1bin,1.0,0.7,"[-1.57716363  4.68998772 -7.84145634 -7.86733026  7.85868852  1.57594795
 -1.54796202  7.88268218  4.69125667 -1.58425009]",0.00045518507992239687
51,latinhypercube,rand1bin,1.0,0.8,"[ 7.85608539 -7.85012702 -1.56876279 -7.84859335 -7.84845247  4.71473927
 -1.56898497 -7.85625801  7.85604326 -1.5695939 ]",0.0004540412654153443
